Liedanfang,Quelle,Seite,Videolink,Bewerten
a est u nas v rajone moldavanki,Doppelbock,6,https://www.youtube.com/embed/0C4oEhBnLdg?si=u98rzxACDgd8URXY,1
The Yew Tree,Doppelbock,10,https://www.youtube.com/embed/j8nIFwpb3NQ?si=wXavhw39vFzI5WWa&amp;start=60,1
Abends geh'n die Liebespaare,Doppelbock,14,https://www.youtube.com/embed/4DJZ-Kwd_1E?si=wiXDJC2IZgDHfBsd,1
Ach Glöckelein,Doppelbock,18,https://www.youtube.com/embed/oiG3iQL0gO4?si=9iEyxPMfVi1SeDTi,1
Der Tramper,Doppelbock,20,https://www.youtube.com/embed/MxtFaKQpl60?si=8FV79UDDLpowpe7J,1
Adios Negrita,Doppelbock,22,https://www.youtube.com/embed/PyWuedsoXeo?si=w7kMJZqx3aRFlGay,1
Ajde Jano,Doppelbock,26,https://www.youtube.com/embed/xvRkd1H4vR8?si=5rxn8atW6PNc6jyB,1
Ako umram,Doppelbock,28,https://www.youtube.com/embed/YwuV59VkC-k?si=OPEWg5OC1pCwykKL&amp;start=74,1
Die Sandbank,Doppelbock,30,https://www.youtube.com/embed/UilQ__v2Gj8?si=0rFxIdgan3R4JHhi,1
Als der große Regen fiel,Doppelbock,32,https://www.youtube.com/embed/cc8TsXI7Uq0?si=upmu4efJ2mGbwDrq,1
Altiruni,Doppelbock,34,https://www.youtube.com/embed/-m2N8gaYiNo?si=KkncV2YG-BR0D2AQ&amp;start=30,1
Piratenhaufen,Doppelbock,36,https://www.youtube.com/embed/Yz18hllzhVY?si=J6Gj47LBxLMSGKY8,1
Der Kippen-Boogie,Doppelbock,38,https://www.youtube.com/embed/Jjeuddx2YkU?si=N3DKwkqleE0w3Iaa,1
Een echt Hamburger Jung,Doppelbock,42,https://www.youtube.com/embed/-BTtX-yuBSM?si=5P4VzCQ7M6Ykmf7a,1
As I roved out one morning,Doppelbock,44,https://www.youtube.com/embed/iC4uTJpmEIE?si=T5h5KvdWG9wNDVwl,1
Scarborough Fair,Doppelbock,48,https://www.youtube.com/embed/-Jj4s9I-53g?si=RvTHG8b3ROcSUvUt,1
Arum dem Fayer,Doppelbock,50,https://www.youtube.com/embed/ZtiJw8r9zCM?si=va2ezyWEkvjq-b1F,1
Whiskey in the Jar,Doppelbock,52,https://www.youtube.com/embed/L__TrWhq4Uk?si=nS6iHkpqikT_mDpJ,1
Auf dein Wohl,Doppelbock,56,https://www.youtube.com/embed/JMgRMF6SQlU?si=aGFFM3MMz5p3f4ZO,1
Jugoslawia,Doppelbock,58,https://www.youtube.com/embed/5PXbk9qD_RE?si=Vvs5ZpoM9H6ghI3v&amp;start=15,1
Loch Lomond,Doppelbock,72,https://www.youtube.com/embed/p0KQLJwMDzc?si=oj-qovnE2t7jamvt,1
Kaffee und Karin,Doppelbock,80,https://www.youtube.com/embed/xHze7YLhhLE?si=6vzPNXtoRnGEmsqo,1
Dat du min Leevsten büst,Doppelbock,84,https://www.youtube.com/embed/5EhdGVokcSE?si=btCaOVU7M7pbAgnP,1
Das Leibregiment,Doppelbock,86,https://www.youtube.com/embed/F5-uDBaHlcc?si=vh5xIjG7s5PnvCDA&amp;start=8,1
Ein Hotdog unten am Hafen,Doppelbock,136,https://www.youtube.com/embed/STnSRWMnn7E?si=w6CIihI5tF43Xdxx,1
Verliebt in Du,Doppelbock,238,https://www.youtube.com/embed/DLaTDv81rvA?si=BwdRlWl4fZvptX8v,1
Seit Tagen schon wandern wir,Doppelbock,364,https://www.youtube.com/embed/WBU8edh_Wls?si=cF9FYEiyjK5D1-Kf,1
