Liedanfang,Quelle,Seite,Videolink,Bewerten
Görg von Frundsberg führt uns an,Sankt Georg,17,https://www.youtube.com/embed/pKs5YBuihZY?si=J4z5ofWI9PiCafK0,1
Weit lasst die Fahnen wehen,Sankt Georg,19,https://www.youtube.com/embed/LRCuczLEgQY?si=TiAwtEjm97CnQya6,1
Die Bauern wollten Freie sein,Sankt Georg,21,https://www.youtube.com/embed/g59J6TS_1Lg?si=aMjtn9-ZrrMNIXKZ,0
Es schlägt ein fremder Fink,Sankt Georg,25,https://www.youtube.com/embed/eDHf2Z1Q740?si=QcUZiTXTVD93g2io,0
Wenn die Landsknecht trinken,Sankt Georg,27f.,https://www.youtube.com/embed/t0TDmv3P0Cs?si=yzgq8vY0gQZF8V9Z,1
"Trum, trum, terum, tum, tum",Sankt Georg,32,https://www.youtube.com/embed/bclyXaitbDQ?si=a-gAu3Ualns3UrDj,1
Es klappert der Huf am Stege,Sankt Georg,33f.,https://www.youtube.com/embed/P8ewxPTdKi4?si=i-Li6puRhW1idffa,1
Die Glocken stürmten vom Bernwardsturm,Sankt Georg,36,https://www.youtube.com/embed/z4oFwgtgIgc?si=vOtDnJkm_7Zf51T8,1
Das Kalbfell klingt,Sankt Georg,40,https://www.youtube.com/embed/OAF6uR2EuBI?si=v7MAa7RBSStYD9Od,1
Wir traben in die Weite,Sankt Georg,127,https://www.youtube.com/embed/iuhcs6rf41g?si=2XuJmiCebIGKkbw1,0
Muß i denn,Sankt Georg,150,https://www.youtube.com/embed/1CIimgUq7ic?si=tNOe_CEaRokqKSMN,0
Wir ziehen über die Straße,Sankt Georg,387,https://www.youtube.com/embed/Dc_i5V978c0?si=DMGmxPRsLfiSp2AE,1
