Liedanfang,Quelle,Seite,Videolink,Bewerten
Ich fahr dahin,Zupfgeigenhansel,1,https://www.youtube.com/embed/q6KeUEOztDE?si=ch2mCyaBMQ6cD6Qr,1
Gesegn dich Laub,Zupfgeigenhansel,1,https://www.youtube.com/embed/VRrWji9raNI?si=sQu0_nhJo4EELfbi,1
"Ach Gott, wie weh tut Scheiden",Zupfgeigenhansel,2,https://www.youtube.com/embed/-E41wCHrfaQ?si=3zPqLaFBPC55ZHqu,1
"Innsbruck, ich muss dich lassen",Zupfgeigenhansel,5,https://www.youtube.com/embed/rI712ZGflAQ?si=lkDENHohTodfHKz0&amp;start=6,1
Es steht ein Lind in jenem Tal,Zupfgeigenhansel,5,https://www.youtube.com/embed/gzUFNziOK0Q?si=oFe2X5sQGRqAgTfi,1
Es geht eine dunkle Wolk herein,Zupfgeigenhansel,6,https://www.youtube.com/embed/PUEzR9B-uSM?si=nPLVFKUO4wXzItlB,0
"Gut Gsell, und du musst wandern",Zupfgeigenhansel,6,https://www.youtube.com/embed/VPFcld9sEOg?si=N-AOmQDaEpuIHC1x,1
Da droben auf jenem Berge,Zupfgeigenhansel,7,https://www.youtube.com/embed/ql_e5RKwHDY?si=MWS_V2RM5w2xno7A,1
Es ritten drei Reiter zum Tore hinaus,Zupfgeigenhansel,8,https://www.youtube.com/embed/TGu7eAUu6Y0?si=ThimoemqXx_1eK78,1
Ade zur guten Nacht,Zupfgeigenhansel,9,https://www.youtube.com/embed/EpctqNYm6Uc?si=0ACMb5OGiAQBqqw1&amp;start=7,0
Der helle Tag bricht an,Zupfgeigenhansel,10,https://www.youtube.com/embed/cQqWZmSdx6M?si=3xs7vBsfo3PkTsoK,1
"Wer bekümmert sich drum, wenn ich wandre",Zupfgeigenhansel,10,https://www.youtube.com/embed/RbgA2ml_pEQ?si=-tyi745bfU_K6c6A&amp;start=12,0
"Es, es, es und es",Zupfgeigenhansel,11,https://www.youtube.com/embed/0D7NkJkVfCk?si=NlhM45fpdjhhqQM8,1
Morgen will mein Schatz verreisen,Zupfgeigenhansel,12,https://www.youtube.com/embed/jVye0NZcBJM?si=suDqAILYwZD4Yf2J,1
Muß i denn,Zupfgeigenhansel,13,https://www.youtube.com/embed/1CIimgUq7ic?si=tNOe_CEaRokqKSMN,0
"Jetzt reisen wir zum Tor hinaus, ade",Zupfgeigenhansel,13,https://www.youtube.com/embed/aFIWM8wbfR8?si=CTpOIuUaqRjj-2EI,1
Wach auf meins Herzens Schöne,Zupfgeigenhansel,14,https://www.youtube.com/embed/sR7goyry_gs?si=nRfLoAc49cz3uoXo,1
Ich weiß ein Maidlein hübsch und fein,Zupfgeigenhansel,17,https://www.youtube.com/embed/FHEJdF4WXjY?si=NjFlVaOw4ghMaFfT&amp;start=38,1
Es saß ein Käterlein auf dem Dach,Zupfgeigenhansel,18,https://www.youtube.com/embed/58urVIzkVWE?si=QaoTQlQY5auUVJsy,1
Mir ist ein schöns brauns Maidelein gefallen in den Sinn,Zupfgeigenhansel,18,https://www.youtube.com/embed/f9XB7mMOTxs?si=JZwJw0bpDnoiQzwn,1
Bist du des Goldschmieds Töchterlein,Zupfgeigenhansel,19,https://www.youtube.com/embed/dlR_OQNq78A?si=fM-ajWshSucKXij4,1
Kume kum Geselle min,Zupfgeigenhansel,20,https://www.youtube.com/embed/FDZHMh_mFxs?si=KvJri01yh5iifLaI,1
Drei Laub auf einer Linden,Zupfgeigenhansel,20,https://www.youtube.com/embed/d34g6xgnyZc?si=Yki3WdG7KHO8V__z&amp;start=60,1
Gar lieblich hat sich gesellet,Zupfgeigenhansel,21,https://www.youtube.com/embed/WVAd-xECxvg?si=eaglC1GhNMybKmZW,1
Sie gleicht wohl einem Rosenstock,Zupfgeigenhansel,22,https://www.youtube.com/embed/yGees0bxLts?si=i5Feag4aIc94ypGL,1
Wo find ich denn deins Vaters Haus,Zupfgeigenhansel,22,https://www.youtube.com/embed/VRnnphEVh8M?si=1xHfH6rRtD3Lo3Bi,1
Du mein einzig Licht,Zupfgeigenhansel,23,https://www.youtube.com/embed/hPYTlGUE8hw?si=qdefvg3bPH1l9NkE,1
Mit Lust tät ich ausreiten,Zupfgeigenhansel,24,https://www.youtube.com/embed/iscRvPlWyKw?si=4GbzNQT2NYyAQ_dX,1
Es taget vor dem Walde,Zupfgeigenhansel,24,https://www.youtube.com/embed/C2xq3Nebd98?si=dwKksCPSBKhwfav6,1
Weiß mir ein Blümlein blaue,Zupfgeigenhansel,25,https://www.youtube.com/embed/crVNf-kCP_Q?si=0y5Swt2S8_NOpOMK,1
S isch äben e Mönsch uf Aerde Simeliberg,Zupfgeigenhansel,26,https://www.youtube.com/embed/QeFhcFqlmhE?si=45guRnJcnzU7l78Q&amp;start=81,1
Wohl heute noch und morgen,Zupfgeigenhansel,28,https://www.youtube.com/embed/zidixk4xt44?si=mZDK2FbR9oevMow5,1
All mein Gedanken die ich hab,Zupfgeigenhansel,28,https://www.youtube.com/embed/CHUrw2mPzq4?si=VEVPgExSzJMBN2IX,1
Dort nieden in jenem Holze,Zupfgeigenhansel,31,https://www.youtube.com/embed/0X6uRl39NaY?si=AL-3rCP-ILsD4CWe,1
Rosestock Holderblüh,Zupfgeigenhansel,31,https://www.youtube.com/embed/m8a88tWeCGA?si=gLlmVF0fW4QRFwQe,0
Feinsliebchen du sollst mir nicht barfuß gehen,Zupfgeigenhansel,32,https://www.youtube.com/embed/fwZoCKe4JDg?si=-tv_ZOZXr-0FbTfD,1
Dat du min Leevsten büst,Zupfgeigenhansel,32,https://www.youtube.com/embed/5EhdGVokcSE?si=GgCOsfBYwx5wtina,1
Das Lieben bringt groß Freud,Zupfgeigenhansel,33,https://www.youtube.com/embed/hlgYnJP3woU?si=rTNesp-ElMb8kvPn,1
Wo a kleins Hüttle steht,Zupfgeigenhansel,34,https://www.youtube.com/embed/yzKHCVNpOmw?si=vygKzsVbaSYXxzke&amp;start=42,1
Kein Feuer keine Kohle,Zupfgeigenhansel,34,https://www.youtube.com/embed/EaIVz_-4ay8?si=EUFCXB2IcxUYU0PV,1
Ich habe mein Feinsliebchen,Zupfgeigenhansel,35,https://www.youtube.com/embed/As5Elr5_OCY?si=D0lJJYsn6zAYL9rD,1
Nachtigall ich hör dich singen,Zupfgeigenhansel,36,https://www.youtube.com/embed/F90IGFvzv7Q?si=eQEaVrG_z3gztaLy,1
Es saß ein klein wild Vögelein,Zupfgeigenhansel,36,https://www.youtube.com/embed/u9bupwG2Ph8?si=OqkJ-swM8dPpv3-P,0
Es wollte sich einschleichen,Zupfgeigenhansel,37,https://www.youtube.com/embed/43-CmlobQuY?si=FwTrJUIZYCxAlZ2J,1
Wenn ich auf Amorbach geh,Zupfgeigenhansel,38,https://www.youtube.com/embed/hXR4pd79gYI?si=73PO25IjXqvmC8Cr,1
Ich wollt gern singen,Zupfgeigenhansel,38,https://www.youtube.com/embed/XiA6eezMIj0?si=Nr8ZIL8mTHbZ2H6M,1
s isch no nit lang,Zupfgeigenhansel,39,https://www.youtube.com/embed/lZYuVz7uYgE?si=lEtQ9E0JUbPZoWYE&amp;start=26,1
