Datum,Gewinner,Verlierer
2024-03-03,Bunt sind schon die Wälder,"Burschen, Burschen"
2024-03-03,Bunt sind schon die Wälder,Bin auf meinem Weg
2024-03-03,"Burschen, Burschen","Bruder, nun wird es Abend"
2024-03-04,An der Allee,"Burschen, Burschen"
2024-03-04,An den sechs vergangnen Tagen,"Burschen, Burschen"
2024-03-04,An der Allee,An den sechs vergangnen Tagen
2024-03-05,Ungezählte Male,"Bruder, nun wird es Abend"
2024-03-05,Unter den Toren,Ungezählte Male
2024-03-06,"Seht, die Leute, die springen",Abends treten Elche
2024-03-06,Kameraden wann seh'n wir uns wieder,Und am Abend ziehen Gaukler
2024-03-06,So troll'n wir uns,Zu Straßburg auf der Schanz
2024-03-06,"In die Sonne, die Ferne hinaus",Roter Wein im Becher
2024-03-07,Tanzen die Dohlen,Jovano
2024-03-07,Oh König von Preußen,Ringsum blühen Birn- und Apfelbäume
2024-03-07,Wo's nur Felsen gibt,Roter Mond
2024-03-07,Schilf bleicht die langen welkenden Haare,"Scharlatane, eins will ich euch sagen"
2024-03-07,Schon wird uns oft ums Herz zu eng,Schlies Aug' und Ohr
2024-03-07,Woher soll das Brot für heute kommen,Ihr hübschen jungen Reiter
2024-03-07,"Nordwärts, nordwärts","Nehmt Abschied, Brüder"
2024-03-08,Nach Süden nun sich lenken die Vögelein,Ich komme schon durch manche Land
2024-03-08,Near to Banbridge town,Wo seid ihr Nächte am Feuer
2024-03-08,Nun greift in die Saiten,Wollt ihr hören nun mein Lied
2024-03-09,"Nun lustig, lustig",Oh Bootsmann
2024-03-09,Wohin auch das Auge blicket,Oh Fischer auf den Wogen
2024-03-09,Wir zogen in das Feld,Wir zahlten mit Dollars und Kopeken
2024-03-09,Wir wollen zu Land ausfahren,Wir wählten den Sommer
2024-03-10,Wir traben in die Weite,Wir sind Kameraden
2024-03-10,Sie saßen oft am Märchensee,Wir sind eine kleine verlorene Schar
2024-03-10,Singt Freunde,Slaat up de Trommele
2024-03-10,Nachts auf dem Dorfplatz,Wir sind durch Deutschland gefahren
2024-03-10,Steigt so ein kleiner Troll,Miruschka
2024-03-11,"Heute hier, morgen dort",Leise weht der Wind
2024-03-11,"Mädchen, Männer, Meister",Hans Spielmann
2024-03-11,In Junkers Kneipe,Jeden Abend träumt Jerschenkow
2024-03-11,Abend ward,Jenseits des Tales
2024-03-11,Kommt Freunde in die Runde,Kein schöner Land
2024-03-11,Mich brennt's in meinen Reiseschuhn,Lang war die Reise
2024-03-11,"Michel, warum weinest du",Wenn wir in der Schenke hängen
2024-03-12,Wir sind des Geyers schwarzer Haufen,Wir kamen einst von Piemont
2024-03-12,"Wir drei, wir gehn jetzt auf die Walze",Wildgänse rauschen durch die Nacht
2024-03-12,Wie schön blüht uns der Maien,Wilde Gesellen
2024-03-12,In dem Kerker saßen,In Dublins fair city
2024-03-12,In days gone by,In das Dorf auf bunten Wagen
2024-03-12,"Gestern, Brüder, könnt ihr's glauben",Gospodar
2024-03-12,Was bin ich nur so jäh erwacht,Gute Nacht Kameraden
2024-03-13,"Hei, wie vorn der Fetzen fliegt",Xekinai
2024-03-13,Hier wächst kein Ahorn,Xekinai
2024-03-13,Holt mir Wein,Hohe Tannen
2024-03-13,Ich kenne Europas Zonen,Horridoh
2024-03-13,Im düstern Auge keine Träne,Wo soll ich mich hinkehren
2024-03-13,Im Kreis ihrer Enkel die alte Frau,"Wer bekümmert sich drum, wenn ich wand're"
2024-03-14,Wenn sie reiten zur Schwemme,Gebt Raum ihr Völker
2024-03-14,Was helfen mir tausend Dukaten,Turm
2024-03-14,Über meiner Heimat Frühling,'Twas down the glen
2024-03-15,Fordre niemand,Fährt ein Schiff
2024-03-15,Wenn ich einmal der Herrgott wär,"Gehe nicht, oh Gregor"
2024-03-15,Gebt ihm jeden Namen,Frühling dringt in den Norden
2024-03-15,"Freunde, seid in dieser Runde",Frisch auf gut G'sell
2024-03-16,"Freunde, der Tag steht am Rande",Freifrau von Droste-Fischering
2024-03-16,Summt der Regen,Es wollt' ein Mägdlein früh aufstehn
2024-03-16,Es wollt' ein Bauer früh aufstehn,Wenn alle Brünnlein fließen
2024-03-16,Es war an einem Sommertag,Es war ein König in Thule
2024-03-16,Es tropft von Helm und Säbel,Es soll sich der Mensch nicht
2024-03-16,Es saß ein klein wild Vögelein,Es liegen drei glänzende Kugeln
2024-03-16,Es ist ein Schnitter,Es hockt am Kamin
2024-03-16,Es führt über den Main,Es geht ein dunkle Wolk herein
2024-03-16,Wenn der Abend naht,Welle wogte
2024-03-17,Und als wir dann am Abend,Endlos sind jene Straßen
2024-03-17,Stille Tage,Straßen auf und Straßen ab
2024-03-17,Stiebt vom Kasbek kalt der Schnee,Steuermann hoo!
2024-03-17,Staubiger Straßen weißes Band,Taivas on sininen
2024-03-18,Tau vor Tag,Trumradibum
